nickName;name;frstSurname;scndSurname;email;password;birthDate;profileImg;role;location;gender;attendingEvents
emma31;Emma;Schneider;Weber;emma31@mail.com;SeedPass1!;1995-08-22 0:00:00;;user;France;female;Roskilde,Electric Zoo,Mysteryland
mia32;Mia;Dubois;Lefevre;mia32@mail.com;SeedPass1!;1995-11-20 0:00:00;;user;Italy;female;Coachella
jonas33;Jonas;Müller;Becker;jonas33@mail.com;SeedPass1!;1996-02-18 0:00:00;;user;UK;other;Rock in Rio,Sziget,Creamfields
liam34;Liam;O'Connor;Murphy;liam34@mail.com;SeedPass1!;1996-05-18 0:00:00;;user;Germany;female;Glastonbury,Sonar,Open'er
emma35;Emma;Schneider;Weber;emma35@mail.com;SeedPass1!;1996-08-16 0:00:00;;user;Germany;other;Fuji Rock,Sziget,Roskilde,Montreux Jazz
laura36;Laura;Fernández;Ruiz;laura36@mail.com;SeedPass1!;1996-11-14 0:00:00;;user;USA;female;Leeds Festival
ava37;Ava;Smith;Taylor;ava37@mail.com;SeedPass1!;1997-02-12 0:00:00;;user;USA;male;Coachella,Electric Zoo,NOS Alive
lucas38;Lucas;Martínez;Gómez;lucas38@mail.com;SeedPass1!;1997-05-13 0:00:00;;user;USA;male;Coachella,Primavera Sound
daniel39;Daniel;Kowalski;Nowak;daniel39@mail.com;SeedPass1!;1997-08-11 0:00:00;;user;UK;female;Open'er,Mysteryland,Dekmantel
jonas40;Jonas;Müller;Becker;jonas40@mail.com;SeedPass1!;1997-11-09 0:00:00;;user;Spain;other;Rock in Rio,Creamfields,Outside Lands
liam41;Liam;O'Connor;Murphy;liam41@mail.com;SeedPass1!;1998-02-07 0:00:00;;user;UK;female;Glastonbury,Boomtown
noah42;Noah;Johnson;Miller;noah42@mail.com;SeedPass1!;1998-05-08 0:00:00;;user;UK;male;Mysteryland,NOS Alive
lucas43;Lucas;Martínez;Gómez;lucas43@mail.com;SeedPass1!;1998-08-06 0:00:00;;user;UK;male;
emma44;Emma;Schneider;Weber;emma44@mail.com;SeedPass1!;1998-11-04 0:00:00;;user;France;female;Montreux Jazz
lucas45;Lucas;Martínez;Gómez;lucas45@mail.com;SeedPass1!;1999-02-02 0:00:00;;user;UK;female;Sonar,Burning Man,Leeds Festival
ava46;Ava;Smith;Taylor;ava46@mail.com;SeedPass1!;1999-05-03 0:00:00;;user;France;female;Primavera Sound
emma47;Emma;Schneider;Weber;emma47@mail.com;SeedPass1!;1999-08-01 0:00:00;;user;USA;other;Coachella,Fuji Rock,Mawazine
daniel48;Daniel;Kowalski;Nowak;daniel48@mail.com;SeedPass1!;1999-10-30 0:00:00;;user;Germany;female;Ultra Miami,Electric Zoo,Leeds Festival,Latitude
ava49;Ava;Smith;Taylor;ava49@mail.com;SeedPass1!;2000-01-28 0:00:00;;user;USA;other;
lucas50;Lucas;Martínez;Gómez;lucas50@mail.com;SeedPass1!;2000-04-27 0:00:00;;user;France;female;Burning Man,Reading Festival
laura51;Laura;Fernández;Ruiz;laura51@mail.com;SeedPass1!;2000-07-26 0:00:00;;user;France;male;Open'er,Boomtown
sofía52;sofía;Rossi;Bianchi;sofía52@mail.com;SeedPass1!;2000-10-24 0:00:00;;user;France;male;Open'er,Latitude
sofía53;sofía;Rossi;Bianchi;sofía53@mail.com;SeedPass1!;2001-01-22 0:00:00;;user;UK;female;Fuji Rock,Open'er,Summer Sonic
noah54;Noah;Johnson;Miller;noah54@mail.com;SeedPass1!;2001-04-22 0:00:00;;user;Italy;female;Ultra Miami,Sziget,Outside Lands
liam55;Liam;O'Connor;Murphy;liam55@mail.com;SeedPass1!;2001-07-21 0:00:00;;user;France;female;Exit Festival,Montreux Jazz,Open'er,Mawazine,NOS Alive,Dekmantel
noah56;Noah;Johnson;Miller;noah56@mail.com;SeedPass1!;2001-10-19 0:00:00;;user;USA;female;NOS Alive
lucas57;Lucas;Martínez;Gómez;lucas57@mail.com;SeedPass1!;2002-01-17 0:00:00;;user;France;other;Awakenings,Reading Festival,Outside Lands
mia58;Mia;Dubois;Lefevre;mia58@mail.com;SeedPass1!;2002-04-17 0:00:00;;user;Germany;female;Coachella,Primavera Sound,Lollapalooza Paris,Latitude
lucas59;Lucas;Martínez;Gómez;lucas59@mail.com;SeedPass1!;2002-07-16 0:00:00;;user;France;female;Sonar,Awakenings
lucas60;Lucas;Martínez;Gómez;lucas60@mail.com;SeedPass1!;2002-10-14 0:00:00;;user;USA;male;Burning Man,Exit Festival
sofía61;sofía;Rossi;Bianchi;sofía61@mail.com;SeedPass1!;2003-01-12 0:00:00;;user;USA;female;Tomorrowland,Roskilde,Awakenings,Leeds Festival,Benicassim
daniel62;Daniel;Kowalski;Nowak;daniel62@mail.com;SeedPass1!;2003-04-12 0:00:00;;user;USA;other;Creamfields,Leeds Festival
liam63;Liam;O'Connor;Murphy;liam63@mail.com;SeedPass1!;2003-07-11 0:00:00;;user;UK;other;Glastonbury,Rock in Rio,Open'er,Pitchfork Paris
ava64;Ava;Smith;Taylor;ava64@mail.com;SeedPass1!;2003-10-09 0:00:00;;user;USA;female;Mysteryland
liam65;Liam;O'Connor;Murphy;liam65@mail.com;SeedPass1!;2004-01-07 0:00:00;;user;UK;other;Sziget,Exit Festival,Reading Festival
emma66;Emma;Schneider;Weber;emma66@mail.com;SeedPass1!;2004-04-06 0:00:00;;user;Spain;female;Summer Sonic
daniel67;Daniel;Kowalski;Nowak;daniel67@mail.com;SeedPass1!;2004-07-05 0:00:00;;user;USA;other;Ultra Miami,Reading Festival
jonas68;Jonas;Müller;Becker;jonas68@mail.com;SeedPass1!;2004-10-03 0:00:00;;user;Germany;other;Ultra Miami,Exit Festival,Open'er,Mysteryland,Reading Festival,NOS Alive
liam69;Liam;O'Connor;Murphy;liam69@mail.com;SeedPass1!;2005-01-01 0:00:00;;user;UK;other;
emma70;Emma;Schneider;Weber;emma70@mail.com;SeedPass1!;2005-04-01 0:00:00;;user;USA;female;Ultra Miami,Exit Festival,NOS Alive,Latitude
liam71;Liam;O'Connor;Murphy;liam71@mail.com;SeedPass1!;2005-06-30 0:00:00;;user;UK;male;Coachella,Lollapalooza Paris,Sziget,Roskilde,Outside Lands
noah72;Noah;Johnson;Miller;noah72@mail.com;SeedPass1!;2005-09-28 0:00:00;;user;USA;male;Primavera Sound,Burning Man,Benicassim,NOS Alive
sofía73;sofía;Rossi;Bianchi;sofía73@mail.com;SeedPass1!;2005-12-27 0:00:00;;user;Italy;female;Roskilde,Exit Festival,Reading Festival,NOS Alive
ava74;Ava;Smith;Taylor;ava74@mail.com;SeedPass1!;2006-03-27 0:00:00;;user;Italy;male;Lollapalooza Paris,Sziget,Roskilde,Benicassim
sofía75;sofía;Rossi;Bianchi;sofía75@mail.com;SeedPass1!;2006-06-25 0:00:00;;user;France;other;Primavera Sound
liam76;Liam;O'Connor;Murphy;liam76@mail.com;SeedPass1!;2006-09-23 0:00:00;;user;Spain;female;Exit Festival,Mysteryland,Leeds Festival
mia77;Mia;Dubois;Lefevre;mia77@mail.com;SeedPass1!;2006-12-22 0:00:00;;user;Germany;female;Primavera Sound,Summer Sonic,Dekmantel,Latitude
emma78;Emma;Schneider;Weber;emma78@mail.com;SeedPass1!;2007-03-22 0:00:00;;user;France;male;Burning Man,Electric Zoo,Dekmantel
noah79;Noah;Johnson;Miller;noah79@mail.com;SeedPass1!;2007-06-20 0:00:00;;user;USA;female;Tomorrowland,Rock in Rio,Lollapalooza Paris,Montreux Jazz
ava80;Ava;Smith;Taylor;ava80@mail.com;SeedPass1!;2007-09-18 0:00:00;;user;Spain;other;Ultra Miami
mia81;Mia;Dubois;Lefevre;mia81@mail.com;SeedPass1!;2007-12-17 0:00:00;;user;Spain;male;Rock in Rio,Reading Festival
emma82;Emma;Schneider;Weber;emma82@mail.com;SeedPass1!;2008-03-16 0:00:00;;user;UK;other;Tomorrowland,Glastonbury,Primavera Sound,Fuji Rock,Sziget,Sonar,Burning Man
lucas83;Lucas;Martínez;Gómez;lucas83@mail.com;SeedPass1!;2008-06-14 0:00:00;;user;Germany;other;Fuji Rock,Burning Man
noah84;Noah;Johnson;Miller;noah84@mail.com;SeedPass1!;2008-09-12 0:00:00;;user;UK;male;Primavera Sound,Rock in Rio,Burning Man,Reading Festival,Boomtown
lucas85;Lucas;Martínez;Gómez;lucas85@mail.com;SeedPass1!;2008-12-11 0:00:00;;user;Spain;female;Fuji Rock,Burning Man
daniel86;Daniel;Kowalski;Nowak;daniel86@mail.com;SeedPass1!;2009-03-11 0:00:00;;user;Germany;other;Fuji Rock,Sonar,Electric Zoo,Leeds Festival,NOS Alive
laura87;Laura;Fernández;Ruiz;laura87@mail.com;SeedPass1!;2009-06-09 0:00:00;;user;Spain;other;Lollapalooza Paris,Sonar
laura88;Laura;Fernández;Ruiz;laura88@mail.com;SeedPass1!;2009-09-07 0:00:00;;user;UK;other;Awakenings,Leeds Festival,Dekmantel
ava89;Ava;Smith;Taylor;ava89@mail.com;SeedPass1!;2009-12-06 0:00:00;;user;France;female;Open'er,Electric Zoo
daniel90;Daniel;Kowalski;Nowak;daniel90@mail.com;SeedPass1!;2010-03-06 0:00:00;;user;Germany;male;Coachella,Glastonbury,Fuji Rock,Creamfields,Outside Lands
ava91;Ava;Smith;Taylor;ava91@mail.com;SeedPass1!;2010-06-04 0:00:00;;user;Germany;female;Tomorrowland,Lollapalooza Paris,Mawazine
jonas92;Jonas;Müller;Becker;jonas92@mail.com;SeedPass1!;2010-09-02 0:00:00;;user;Italy;other;Awakenings,Mysteryland,Boomtown,Latitude
ava93;Ava;Smith;Taylor;ava93@mail.com;SeedPass1!;2010-12-01 0:00:00;;user;Germany;other;Montreux Jazz,Mysteryland
noah94;Noah;Johnson;Miller;noah94@mail.com;SeedPass1!;2011-03-01 0:00:00;;user;Spain;female;Boomtown
emma95;Emma;Schneider;Weber;emma95@mail.com;SeedPass1!;2011-05-30 0:00:00;;user;UK;female;Tomorrowland,Electric Zoo,Summer Sonic,Pitchfork Paris
mia96;Mia;Dubois;Lefevre;mia96@mail.com;SeedPass1!;2011-08-28 0:00:00;;user;Italy;female;Open'er,Awakenings,Dekmantel
sofía97;sofía;Rossi;Bianchi;sofía97@mail.com;SeedPass1!;2011-11-26 0:00:00;;user;Italy;other;Sziget,Leeds Festival
jonas98;Jonas;Müller;Becker;jonas98@mail.com;SeedPass1!;2012-02-24 0:00:00;;user;UK;other;Primavera Sound,Sonar,Summer Sonic
lucas99;Lucas;Martínez;Gómez;lucas99@mail.com;SeedPass1!;2012-05-24 0:00:00;;user;USA;female;Open'er,Dekmantel,Pitchfork Paris
